run;activation_index;cost_start;cost_end;improved;depth
47;3;2719;1420;1;1
48;3;2595;1400;1;1
50;3;2496;1398;1;1
21;5;1402;1402;0;0
49;3;2340;1453;1;1
37;4;1405;1405;0;0
36;4;1403;1403;0;0
41;4;1414;1414;0;0
34;4;1415;1415;0;0
35;4;1414;1414;0;0
45;4;1446;1446;0;0
44;4;1403;1403;0;0
33;4;1409;1409;0;0
38;4;1405;1405;0;0
43;4;1446;1446;0;0
6;5;1418;1418;0;0
47;4;1420;1420;0;0
42;4;1419;1419;0;0
46;4;1448;1448;0;0
37;5;1405;1405;0;0
32;4;1408;1408;0;0
50;4;1398;1398;0;0
36;5;1403;1403;0;0
48;4;1400;1400;0;0
41;5;1414;1414;0;0
39;4;1391;1391;0;0
49;4;1453;1453;0;0
34;5;1415;1415;0;0
40;4;1413;1413;0;0
35;5;1414;1414;0;0
38;5;1405;1405;0;0
43;5;1446;1446;0;0
33;5;1409;1409;0;0
47;5;1420;1420;0;0
45;5;1446;1446;0;0
44;5;1403;1403;0;0
42;5;1419;1419;0;0
46;5;1448;1448;0;0
50;5;1398;1398;0;0
48;5;1400;1400;0;0
32;5;1408;1408;0;0
49;5;1453;1453;0;0
39;5;1391;1391;0;0
