run;activation_index;cost_start;cost_end;improved;depth
40;5;608;608;0;1
47;4;619;613;1;2
46;4;610;609;1;2
45;4;617;610;1;3
47;5;611;611;0;1
42;5;608;608;0;1
34;4;610;610;0;0
41;5;611;610;1;0
44;4;610;610;0;0
36;7;608;608;0;0
38;5;608;608;0;0
35;5;610;610;0;0
32;5;611;611;0;0
43;5;609;609;0;0
37;5;609;609;0;0
33;6;608;608;0;0
39;6;609;609;0;0
46;5;609;609;0;0
40;6;608;608;0;0
45;5;610;610;0;0
47;6;611;611;0;0
34;5;609;609;0;1
42;6;608;608;0;0
32;6;609;609;0;1
41;6;610;610;0;0
39;7;608;608;0;1
44;5;610;610;0;0
47;7;608;608;0;1
36;8;608;608;0;0
38;6;608;608;0;0
43;6;609;609;0;0
35;6;610;610;0;0
37;6;609;609;0;0
33;7;608;608;0;0
46;6;609;609;0;0
48;1;711;621;1;0
45;6;609;609;0;1
49;1;749;608;1;0
50;1;654;624;1;0
40;7;608;608;0;0
50;2;654;636;1;1
48;2;685;619;1;2
50;3;701;630;1;1
49;2;625;621;1;1
48;3;622;620;1;1
50;4;622;617;1;2
48;4;619;611;1;1
49;3;621;613;1;2
48;5;610;610;0;1
50;5;616;616;0;1
49;4;611;608;1;1
50;6;609;609;0;1
48;6;610;610;0;0
49;5;608;608;0;0
50;7;609;609;0;0
48;7;608;608;0;1
49;6;608;608;0;0
