problem;BrasilPR25n
useTBAS;0
run;seed;cost;time_ms
0;9176377229071207081;227;615.573416
0,3,2,4,10,9,11,6,19,5,8,21,1,13,12,15,14,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
1;76241568449944305;226;667.846959
0,3,2,4,19,5,10,9,11,6,8,21,14,12,15,1,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
2;11569656429252920891;226;648.370875
0,3,2,19,6,11,9,10,4,5,8,14,21,12,15,1,13,7,22,20,23,18,24,16,17
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
3;8006770736520076435;226;651.922292
0,3,2,19,5,4,10,9,11,6,8,21,14,12,15,1,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
4;10222608011239175760;226;638.569417
0,3,2,19,6,11,9,10,5,4,8,21,14,12,15,1,13,7,22,20,23,18,24,16,17
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
5;83674907983555125;228;591.067
0,11,5,4,10,9,19,6,8,3,2,13,1,15,12,21,14,16,17,7,22,20,23,18,24
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
6;16633518659454552880;226;639.353417
0,3,2,4,19,6,11,9,10,5,8,14,21,12,15,1,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
7;3348662810425028053;226;579.747584
0,3,2,4,11,5,10,9,19,6,8,14,21,12,15,1,13,7,22,20,23,18,24,16,17
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
8;1625020296661546126;226;625.032125
0,3,2,4,11,5,10,9,19,6,8,14,21,1,15,12,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
9;8722260422266777814;226;676.850042
0,3,2,4,10,9,19,6,11,5,8,14,21,12,15,1,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
10;18422523289718600251;226;706.765667
0,3,2,4,10,9,11,5,19,6,8,21,14,12,15,1,13,7,22,20,23,18,24,16,17
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
11;12120595211417451604;228;613.763917
0,19,6,8,10,9,11,5,4,3,2,13,12,15,1,21,14,16,17,7,22,20,23,18,24
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
12;11180516292616150398;228;716.907666
0,11,9,10,4,5,19,6,8,3,2,13,1,15,12,21,14,16,17,7,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
13;13235578871255005297;226;688.516917
0,3,2,4,5,11,6,19,9,10,8,21,14,12,15,1,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
14;17784125318686945540;227;612.591542
0,3,2,4,10,9,11,6,19,5,8,21,14,12,15,1,13,7,17,16,23,18,24,22,20
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
15;15956506419893335137;228;578.123042
0,11,6,8,4,5,10,9,19,3,2,13,12,15,1,21,14,16,17,7,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
16;2899130862535483918;227;574.275875
0,3,2,6,19,9,11,5,4,10,8,14,21,12,15,1,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
17;11850605890185619915;226;600.018292
0,3,2,4,11,5,10,9,19,6,8,21,14,12,15,1,13,7,22,20,23,18,24,16,17
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
18;13353388233111958045;226;804.37625
0,3,2,4,10,9,19,6,11,5,8,21,14,12,15,1,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
19;6644193456908987648;226;671.388
0,3,2,4,5,10,9,19,6,11,8,21,14,12,15,1,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
20;9748498986499756733;226;593.14175
0,3,2,4,5,10,9,11,6,19,8,21,14,12,15,1,13,7,22,20,23,18,24,16,17
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
21;9610614758425770644;226;683.908666
0,3,2,4,10,5,11,9,19,6,8,21,14,12,15,1,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
22;16467222360164019310;228;534.410334
0,22,20,23,18,24,16,17,14,7,13,1,15,12,21,8,6,19,5,11,9,10,4,2,3
2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
23;11726302834367551336;226;615.342208
0,3,2,4,5,11,6,19,9,10,8,14,21,1,15,12,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
24;8896860786397106362;227;636.5845
0,3,2,4,5,11,6,19,9,10,8,21,1,13,12,15,14,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
25;6737285527070588895;226;581.388792
0,3,2,4,5,11,6,19,9,10,8,14,21,12,15,1,13,7,22,20,23,18,24,16,17
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
26;11634350522773239934;226;748.422792
0,3,2,19,6,11,9,10,5,4,8,21,14,12,15,1,13,7,22,20,23,18,24,16,17
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
27;7808547232002136844;226;664.829459
0,3,2,4,10,5,11,9,19,6,8,14,21,1,15,12,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
28;3287009989320200796;226;632.448625
0,3,2,4,10,9,11,6,19,5,8,14,21,1,15,12,13,7,22,20,23,18,24,16,17
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
29;8484872300069380217;226;647.624083
0,3,2,19,4,5,10,9,11,6,8,21,14,12,15,1,13,7,22,20,23,18,24,16,17
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
30;8138020970177873692;227;624.394792
0,3,2,6,19,9,11,5,4,10,8,21,14,12,15,1,13,7,22,20,23,18,24,16,17
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
31;16735953543485209995;226;602.948792
0,3,2,4,11,6,19,9,10,5,8,14,21,1,15,12,13,7,22,20,23,18,24,16,17
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
32;957827445528146549;226;593.730667
0,3,2,4,11,6,19,9,10,5,8,21,14,12,15,1,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
33;9178821638437730898;226;537.903084
0,3,2,4,19,5,10,9,11,6,8,14,21,1,15,12,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
34;2354512119315649564;227;690.644666
0,3,2,4,10,9,11,5,19,6,8,15,12,13,1,21,14,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
35;10160966691791677292;226;605.102208
0,3,2,4,11,9,10,5,19,6,8,21,14,12,15,1,13,7,17,16,24,18,23,20,22
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
36;27474500062045820;226;630.35075
0,3,2,19,6,11,9,10,5,4,8,21,14,12,15,1,13,7,22,20,23,18,24,16,17
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
37;7844575079918988844;226;611.387
0,3,2,4,11,6,19,9,10,5,8,21,14,12,15,1,13,7,17,16,24,18,23,20,22
