problem;Londrina100n
useTBAS;0
run;seed;cost;time_ms
0;9176377229071207081;1166;264610.612
0,9,5,10,14,7,45,12,44,19,59,56,72,63,95,91,92,31,32,21,62,50,70,66,80,81,73,84,83,28,3,55,36,65,90,69,52,79,74,88,41,34,57,6,43,17,23,2,20,30,15,38,37,33,40,22,60,46,58,49,85,76,89,64,94,97,86,77,87,13,68,26,71,16,42,35,51,27,39,29,11,99,61,78,48,54,53,75,67,98,82,96,47,93,24,25,4,8,1,18
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1;76241568449944305;1169;264248.364583
0,9,5,14,7,10,55,36,45,31,92,91,95,73,81,80,66,70,50,62,3,83,84,63,72,56,59,58,44,12,15,21,32,19,65,90,23,30,20,2,43,34,41,37,38,17,40,22,60,46,85,6,57,52,69,64,89,76,79,74,88,61,97,94,86,98,82,87,77,96,49,53,54,48,75,67,99,78,29,27,51,35,42,16,71,26,28,24,25,11,18,13,4,8,1,68,47,93,33,39
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2;11569656429252920891;1160;268557.891084
0,14,7,9,5,10,3,28,19,44,12,45,31,32,21,62,47,58,59,56,84,83,92,91,95,73,81,80,66,70,36,55,15,72,63,65,90,61,88,74,79,76,85,46,60,22,40,26,30,23,17,20,2,38,37,41,34,43,6,57,50,97,94,86,52,69,64,89,71,16,29,78,99,77,87,53,49,96,82,98,67,75,48,54,24,93,33,39,27,51,1,8,4,25,11,68,35,42,13,18
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3;8006770736520076435;1165;276997.251708
0,14,7,9,5,32,21,62,56,72,63,84,15,10,3,28,45,12,44,19,55,36,70,66,80,83,92,91,95,73,81,65,90,86,69,52,79,50,57,34,41,17,23,30,20,2,88,74,89,64,94,97,76,85,46,60,22,40,33,37,59,58,6,43,35,38,24,25,4,8,1,18,13,42,16,71,26,93,47,51,27,29,11,68,61,78,48,54,53,75,67,98,49,96,82,87,77,99,31,39
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4;10222608011239175760;1165;270011.386458
0,14,7,9,5,32,21,62,50,70,66,68,56,84,83,80,65,92,91,95,63,72,36,55,19,44,12,45,28,3,10,81,73,90,86,76,94,97,61,88,74,79,52,69,64,89,33,37,41,34,43,6,57,35,59,58,49,85,46,60,22,40,2,20,15,30,23,17,38,24,71,26,29,93,47,96,82,87,77,78,48,98,67,99,31,39,27,51,13,42,16,54,53,75,11,25,4,8,1,18
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5;83674907983555125;1173;236844.207167
0,14,10,3,83,84,63,95,91,92,31,32,21,5,9,7,45,12,44,19,55,36,59,56,62,50,70,66,80,81,65,90,61,88,74,89,64,69,85,76,79,52,58,46,57,6,37,38,35,60,22,40,15,23,30,20,2,41,34,43,17,94,97,86,77,96,82,87,73,99,78,48,75,67,98,49,72,27,53,54,47,93,33,51,16,68,11,28,24,71,26,39,29,13,42,1,8,25,4,18
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6;16633518659454552880;1163;259915.762958
0,9,5,32,21,62,50,70,66,80,83,84,56,59,31,45,12,44,19,28,3,10,14,7,55,36,72,63,95,91,92,65,81,73,90,2,20,30,23,17,38,15,41,37,43,6,58,49,86,97,94,64,89,74,88,76,79,52,69,85,46,60,22,40,34,57,24,25,11,75,67,98,82,96,77,87,53,27,51,16,71,26,39,29,42,35,68,61,99,47,93,33,78,48,54,13,4,8,1,18
