problem;BrasilCO40n
useTBAS;0
run;seed;cost;time_ms
0;9176377229071207081;575;50151.144417
0,24,13,39,17,26,7,15,14,30,35,16,29,8,22,21,23,36,4,2,5,3,6,31,18,32,37,9,25,1,19,10,27,11,33,20,34,28,38,12
3,3,3,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1;76241568449944305;574;49628.495459
0,24,13,39,17,26,7,15,14,30,19,27,10,33,9,12,20,11,25,1,34,28,38,31,18,37,32,3,6,2,35,16,29,8,22,21,23,36,5,4
3,3,3,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
2;11569656429252920891;574;48793.694542
0,15,14,30,7,26,17,36,23,21,22,8,29,16,35,4,2,5,3,6,37,32,18,31,33,10,25,11,27,19,38,28,34,1,20,9,12,39,13,24
4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
3;8006770736520076435;575;48960.004208
0,15,7,26,14,30,17,35,16,29,8,22,21,23,36,4,2,5,3,6,37,32,18,31,33,11,27,20,1,34,10,28,38,19,25,9,12,39,13,24
4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
4;10222608011239175760;574;49068.258125
0,24,13,39,17,26,7,15,14,30,36,23,21,22,8,29,16,35,2,4,5,3,6,31,18,32,37,9,25,10,27,19,38,28,34,11,33,20,1,12
3,3,3,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5;83674907983555125;574;50356.983
0,24,13,39,17,26,7,15,14,30,19,10,25,11,27,20,33,9,12,1,34,28,38,31,18,32,37,3,6,2,5,36,23,21,22,8,35,16,29,4
3,3,3,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
6;16633518659454552880;575;47938.108958
