run;activation_index;cost_start;cost_end;improved;depth
38;3;1279;1179;1;1
49;2;1706;1178;1;1
43;3;1615;1169;1;1
48;3;1561;1192;1;1
46;2;1562;1187;1;1
50;3;1597;1170;1;1
35;4;1182;1178;1;1
44;3;1529;1185;1;1
42;3;1493;1184;1;1
49;3;1481;1185;1;1
41;2;1562;1184;1;1
45;3;1643;1191;1;1
47;3;1685;1183;1;1
46;3;1364;1169;1;1
35;5;1173;1165;1;1
36;4;1176;1172;1;1
49;4;1184;1173;1;1
41;3;1301;1180;1;1
37;4;1172;1171;1;1
33;4;1182;1176;1;1
32;4;1179;1168;1;2
34;4;1178;1174;1;2
38;4;1173;1166;1;1
40;4;1169;1169;0;0
37;5;1167;1167;0;1
49;5;1172;1163;1;2
39;4;1192;1174;1;1
41;4;1177;1173;1;1
44;4;1185;1185;0;0
43;4;1169;1169;0;0
47;4;1177;1175;1;1
42;4;1184;1184;0;0
36;5;1171;1170;1;1
50;4;1170;1170;0;0
48;4;1184;1174;1;3
38;5;1164;1164;0;1
45;4;1181;1168;1;1
41;5;1169;1169;0;1
44;5;1181;1178;1;1
37;6;1166;1166;0;1
32;5;1166;1162;1;1
33;5;1173;1168;1;1
44;6;1177;1172;1;1
36;6;1169;1169;0;1
38;6;1163;1160;1;1
46;4;1169;1167;1;1
40;5;1169;1169;0;0
47;5;1167;1163;1;1
42;5;1183;1180;1;0
48;5;1172;1169;1;1
36;7;1166;1164;1;1
49;6;1163;1163;0;0
35;6;1165;1165;0;0
33;6;1166;1166;0;1
37;7;1161;1160;1;1
50;5;1170;1170;0;0
43;5;1169;1169;0;0
44;7;1169;1166;1;1
46;5;1166;1166;0;1
41;6;1165;1165;0;1
39;5;1174;1171;1;1
33;7;1165;1165;0;1
40;6;1168;1165;1;1
45;5;1168;1168;0;0
34;5;1174;1174;0;0
33;8;1164;1164;0;1
48;6;1167;1167;0;1
39;6;1170;1166;1;2
37;8;1159;1158;1;1
45;6;1166;1163;1;2
47;6;1163;1163;0;0
38;7;1160;1160;0;0
