problem;BrasilNE50n
useTBAS;0
run;seed;cost;time_ms
0;9176377229071207081;609;211567.593041
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
13;13235578871255005297;608;212866.859958
0,1,14,44,42,25,30,2,13,4,3,5,6,20,16,19,18,48,47,22,7,29,17,21,15,9,27,8,36,28,46,45,26,37,23,49,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
14;17784125318686945540;608;205802.169417
0,1,14,44,42,25,30,2,13,4,3,5,6,20,48,47,18,19,16,29,7,22,17,21,15,9,27,8,49,23,37,26,36,28,45,46,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
15;15956506419893335137;611;203317.952792
0,1,30,25,42,44,14,2,13,4,3,5,29,18,47,48,16,19,7,20,6,22,17,21,15,37,26,36,28,46,8,27,23,49,9,45,39,40,32,11,24,10,38,33,35,34,31,41,43,12
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
16;2899130862535483918;609;217541.218959
0,1,14,44,42,25,30,2,13,4,3,5,6,22,29,7,20,18,48,47,16,19,17,21,15,37,26,9,27,8,49,23,36,28,46,45,39,40,32,11,24,10,38,33,35,34,31,41,43,12
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
17;11850605890185619915;608;211370.239834
0,1,14,44,42,25,30,2,13,4,3,5,29,7,22,6,20,18,19,16,48,47,17,21,9,27,8,15,36,28,46,45,26,37,23,49,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
18;13353388233111958045;612;211751.220584
0,1,4,13,2,14,44,42,25,30,18,48,47,16,19,3,5,29,7,22,6,20,17,9,21,15,27,8,36,28,46,45,26,37,23,49,39,40,32,11,24,10,38,33,35,34,31,41,43,12
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
19;6644193456908987648;610;207090.256583
0,1,4,13,2,14,44,42,25,30,18,19,16,48,47,6,3,5,29,20,7,22,17,21,15,9,27,8,46,45,28,36,26,37,23,49,39,40,32,11,24,10,38,33,35,34,31,41,43,12
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
20;9748498986499756733;609;230426.954667
0,1,14,44,42,25,30,2,13,4,3,5,6,20,18,48,47,16,19,7,29,22,17,21,9,27,8,15,37,23,36,26,45,46,28,49,39,40,32,11,24,10,38,33,35,34,31,41,43,12
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
21;9610614758425770644;610;209053.448292
0,1,14,44,42,25,30,2,13,4,3,5,6,22,29,7,19,16,48,47,18,20,17,21,15,37,26,9,27,8,49,23,36,28,46,45,39,40,32,11,24,10,38,33,35,31,34,12,43,41
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
22;16467222360164019310;609;209845.001625
0,1,30,25,42,44,14,2,13,4,3,5,6,20,18,19,16,48,47,7,22,29,17,21,15,37,26,23,49,8,27,9,36,28,46,45,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
23;11726302834367551336;608;210429.939833
0,1,13,2,14,44,42,25,30,4,3,5,6,22,7,29,20,16,19,18,48,47,17,21,15,8,27,9,49,23,37,26,36,28,46,45,39,40,32,11,24,10,38,33,35,34,31,41,43,12
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
24;8896860786397106362;610;209144.444958
0,1,4,13,2,14,44,42,25,30,18,19,16,48,47,22,29,7,20,6,5,3,17,21,15,9,27,8,49,23,37,26,36,28,46,45,39,40,32,11,24,10,38,33,35,12,34,31,41,43
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
25;6737285527070588895;610;212593.622167
0,1,4,13,2,14,44,42,25,30,18,48,47,16,19,6,20,7,22,5,3,29,17,21,9,27,8,15,46,45,28,36,26,37,23,49,39,40,32,11,24,10,38,33,35,34,31,41,43,12
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
26;11634350522773239934;608;210352.482458
0,1,30,25,42,44,14,2,13,4,3,5,6,22,7,29,18,19,16,47,48,20,17,21,15,9,27,8,49,23,37,26,36,28,46,45,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
27;7808547232002136844;609;226730.606959
0,1,14,42,44,25,30,2,13,4,3,5,29,7,20,6,22,48,47,18,19,16,17,21,15,8,27,9,36,28,46,45,26,37,23,49,39,40,32,11,24,10,38,33,35,12,34,31,41,43
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
28;3287009989320200796;610;207094.566666
0,1,4,13,2,14,44,42,25,30,16,19,18,48,47,6,20,7,29,5,3,22,17,21,15,8,27,9,45,46,28,36,26,37,23,49,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
29;8484872300069380217;609;207841.195542
0,1,42,44,25,30,2,14,13,4,3,5,6,20,29,7,19,16,48,47,18,22,17,21,15,9,27,8,49,23,37,26,36,28,46,45,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
30;8138020970177873692;610;199443.800292
0,1,13,2,14,44,42,25,30,4,3,5,6,47,48,18,19,16,20,7,29,22,17,46,45,28,36,15,21,9,26,37,23,27,8,49,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
31;16735953543485209995;609;207291.613916
0,1,14,44,42,25,30,2,13,4,3,5,6,20,7,22,29,16,19,18,48,47,17,21,15,8,27,9,49,23,37,26,36,28,46,45,39,40,10,24,11,32,31,38,33,35,34,41,43,12
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,1,1,1,1,1,1
32;957827445528146549;609;218137.671
0,1,30,25,42,44,14,2,13,4,3,5,29,7,20,6,22,48,47,18,19,16,17,37,26,23,49,8,27,9,21,15,36,28,46,45,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
33;9178821638437730898;608;217454.273375
0,1,13,2,30,25,42,44,14,4,3,5,29,7,22,6,20,18,19,16,48,47,17,21,9,27,8,15,45,46,28,36,26,37,23,49,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
34;2354512119315649564;610;207035.905209
0,1,42,44,25,30,2,14,13,4,3,5,6,47,48,18,19,16,20,7,29,22,17,21,15,8,27,9,49,23,37,26,36,28,46,45,39,40,10,24,11,32,31,38,33,35,12,43,41,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,1,1,1,1,1,1
35;10160966691791677292;608;207618.592917
0,1,14,44,42,25,30,2,13,4,3,5,6,20,18,19,16,47,48,22,7,29,17,21,9,27,8,15,36,28,46,45,26,37,23,49,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
36;27474500062045820;608;199049.615834
0,1,30,25,42,44,14,2,13,4,3,5,29,18,48,47,16,19,6,20,7,22,17,21,15,9,27,8,45,46,28,36,26,37,23,49,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
37;7844575079918988844;611;209044.304583
0,34,41,43,12,35,33,38,31,32,11,24,10,40,39,49,23,37,26,36,28,45,46,15,21,9,27,8,17,22,48,47,16,19,18,29,7,20,6,5,3,4,30,25,42,44,14,2,13,1
1,1,1,1,1,1,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4
38;15524044195614787644;610;209582.220958
0,1,4,13,2,14,44,42,25,30,18,19,16,48,47,22,7,29,5,3,6,20,17,21,9,27,8,15,45,46,28,36,26,37,23,49,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
39;4980590106503615414;608;212609.818791
0,1,13,2,14,44,42,25,30,4,3,5,6,20,7,29,22,18,19,16,48,47,17,21,15,8,27,9,49,23,37,26,36,28,46,45,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
40;3943098024137922559;608;220749.681417
0,1,14,44,42,25,30,2,13,4,3,5,29,7,22,6,20,48,47,18,19,16,17,21,15,8,27,9,37,26,45,46,28,36,23,49,39,40,32,11,24,10,38,33,35,12,43,41,31,34
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
41;141425323448007506;610;209948.597209
0,1,14,2,13,42,44,25,30,4,3,5,29,7,22,6,20,18,19,16,48,47,17,21,15,45,46,28,36,23,37,26,9,27,8,49,39,40,32,11,24,10,38,33,35,34,31,41,43,12
4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1
42;16001952662412044218;608;203951.956
0,1,14,44,42,25,30,2,13,4,3,5,29,7,22,18,48,47,16,19,6,20,17,21,15,8,27,9,36,28,46,45,26,37,23,49,39,40,32,11,24,10,38,33,35,12,34,31,41,43
