problem;BrasilNO45n
useTBAS;0
run;seed;cost;time_ms
0;9176377229071207081;546;73873.7735
0,18,17,29,30,28,34,7,9,2,6,1,16,11,39,44,22,32,24,43,37,41,25,26,5,14,12,35,20,23,4,13,3,42,36,27,38,21,33,31,40,8,19,10,15
2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
1;76241568449944305;552;71260.187708
0,9,7,34,28,30,8,16,1,29,17,18,11,2,39,43,24,32,22,44,20,41,37,5,14,26,25,35,12,13,4,23,3,42,36,27,38,21,40,31,33,19,10,15,6
2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
2;11569656429252920891;547;87855.707916
0,29,1,18,17,34,28,30,8,16,11,2,9,7,39,44,22,32,24,43,37,41,25,26,5,14,12,42,3,13,4,23,20,35,31,36,27,38,10,40,21,33,19,15,6
2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
3;8006770736520076435;551;70670.040833
0,15,19,10,38,27,40,21,33,12,13,4,23,3,36,42,31,35,20,26,25,37,41,5,14,1,6,2,9,7,34,28,30,8,16,11,18,17,29,39,43,24,44,22,32
4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0
4;10222608011239175760;550;81112.294
0,9,7,34,28,30,29,17,18,11,16,1,6,2,39,43,24,32,22,44,37,41,5,14,8,26,25,12,35,20,23,4,13,3,36,42,31,33,21,40,27,38,10,19,15
2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
5;83674907983555125;548;80600.192917
0,9,7,16,11,1,18,17,29,25,30,28,34,8,39,44,22,32,24,43,37,41,5,26,14,12,35,20,23,4,13,3,42,31,36,27,40,21,38,10,33,15,19,2,6
2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
6;16633518659454552880;550;80127.56225
0,9,7,34,28,39,8,30,25,29,17,18,11,16,1,14,26,5,41,37,43,21,44,22,32,24,42,12,35,20,23,3,13,4,36,31,40,27,38,10,33,15,19,2,6
2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
7;3348662810425028053;551;73695.926875
0,18,17,29,7,34,8,9,2,11,16,1,30,28,39,43,21,44,22,32,24,42,36,3,13,4,23,20,35,12,14,5,26,25,37,41,27,38,10,19,40,31,33,15,6
2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
8;1625020296661546126;545;74117.345417
0,9,7,34,28,30,8,11,16,1,18,17,29,39,43,24,32,22,44,37,41,25,26,5,14,12,35,20,23,4,13,3,42,36,27,38,21,40,31,33,10,15,19,2,6
2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4
9;8722260422266777814;546;70009.328667
