problem;Londrina100n
useTBAS;0
run;seed;cost;time_ms
0;9176377229071207081;1170;310847.358042
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7;3348662810425028053;1163;303832.746917
0,14,7,9,5,32,21,62,50,70,31,45,12,44,19,28,3,10,55,36,72,65,92,91,95,63,83,84,56,68,66,80,81,73,90,61,88,74,79,52,97,94,69,64,89,76,85,20,2,30,23,38,17,57,6,37,41,15,40,22,60,46,58,59,35,43,34,86,77,87,82,96,49,98,67,75,48,54,53,11,29,27,51,16,42,13,18,1,8,4,25,24,71,26,93,47,99,78,33,39
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8;1625020296661546126;1172;270949.757667
0,9,5,32,21,62,44,19,55,3,10,14,7,45,12,84,56,72,36,70,66,80,83,92,91,95,63,65,81,73,87,77,96,82,98,67,75,53,27,51,16,42,13,18,1,8,4,25,24,71,26,93,47,99,78,48,54,28,68,11,29,39,31,38,35,37,33,40,22,60,46,59,58,49,85,76,97,61,90,88,74,94,86,89,64,69,52,79,50,57,6,43,34,41,15,30,23,2,20,17
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9;8722260422266777814;1164;295861.594541
0,14,7,9,5,32,21,62,46,55,36,58,10,3,28,45,12,44,19,59,56,68,66,70,31,72,63,95,91,92,65,83,84,80,81,73,90,61,88,74,79,50,57,17,43,6,85,76,89,64,69,52,97,94,86,34,40,22,60,35,38,23,15,30,20,2,41,37,33,93,47,54,48,78,77,87,82,96,49,98,53,27,51,16,42,13,18,1,8,4,25,24,71,26,39,29,11,75,67,99
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
