run;activation_index;cost_start;cost_end;improved;depth
37;4;275;275;0;0
38;4;272;272;0;0
42;4;275;275;0;0
40;4;274;274;0;0
32;5;274;274;0;0
43;4;279;279;0;0
45;4;278;278;0;0
46;4;275;275;0;0
33;5;274;274;0;0
34;5;275;275;0;0
36;5;277;277;0;0
37;5;272;271;1;0
47;4;280;280;0;0
44;5;271;271;0;0
41;5;274;274;0;0
39;5;276;276;0;0
35;5;277;277;0;0
38;5;272;272;0;0
40;5;274;274;0;0
32;6;274;274;0;0
43;5;277;277;0;0
42;5;275;275;0;0
45;5;278;278;0;0
49;1;282;282;0;0
48;1;289;289;0;0
50;1;283;283;0;0
37;6;271;271;0;0
46;5;273;271;1;0
44;6;271;271;0;0
47;5;280;280;0;0
43;6;274;273;1;0
49;2;282;282;0;0
50;2;277;277;0;0
48;2;274;274;0;0
49;3;282;282;0;0
48;3;274;274;0;0
50;3;277;277;0;0
49;4;281;281;0;0
48;4;274;274;0;0
50;4;277;277;0;0
49;5;275;275;0;0
48;5;273;273;0;0
50;5;277;277;0;0
49;6;274;274;0;0
49;7;273;271;1;0
